date,HU101-CVPM01G,HU101-CVPM01S,HU102-CVPM02G,HU102-CVPM02S,HU103A-CVPM03AG,HU103A-CVPM03AS,HU103B-CVPM03BG,HU103B-CVPM03BS,HU104-CVPM04G,HU104-CVPM04S,HU202-CVPM05G,HU202-CVPM05S,HU203-CVPM06G,HU203-CVPM06S,HU204-CVPM07G,HU204-CVPM07S,HU206-CVPM09G,HU206-CVPM09S,HU207-CVPM08G,HU207-CVPM08S,HU302-CVPM11G,HU302-CVPM11S,HU303-CVPM10G,HU303-CVPM10S,HU305-CVPM12G,HU305-CVPM12S,HU306-CVPM13G,HU306-CVPM13S,HU401-CVPM16G,HU401-CVPM16S,HU402A-CVPM14AG,HU402A-CVPM14AS,HU402B-CVPM14BG,HU402B-CVPM14BS,HU403-CVPM17G,HU403-CVPM17S,HU404A-CVPM15AG,HU404A-CVPM15AS,HU404B-CVPM15BG,HU404B-CVPM15BS,HU405-CVPM18G,HU405-CVPM18S,HU407-CVPM20G,HU407-CVPM20S,HU408A-CVPM19AG,HU408A-CVPM19AS,HU408B-CVPM19BG,HU408B-CVPM19BS,HU409A-CVPM21AG,HU409A-CVPM21AS,HU409B-CVPM21BG,HU409B-CVPM21BS,HU409C-CVPM21CG,HU409C-CVPM21CS,HU501-AGG_VENT,HU501-AGS_VENT,HU502-AGG_AV,HU507-AGG_COACH,HU507-AGS_COACH,HU508-AGS_Palo,HU509-AGG_EW,HU510-AGS_IMP,HU511-AGG_SD,HU511-AGS_SD,HU512-AgS_Bard,HXCMWD-ERes_CMWD,HXEWMWD-ERES_EWMWD,HXI101-EXT_Reddin,HXI201-EXT_YUBA,HXI203-EXT_CVPM06,HXI204-EXT_SAC,HXI205-ERES_NAPA,HXI205-IND_NAPA,HXI207-EXT_CVPM08,HXI208-ERES_CC,HXI208-IND_CCWD,HXI209-ERES_EBMUD,HXI209-IND_EBMUD,HXI210-EXT_STOCK,HXI301-ERES_SF,HXI301-IND_SFPUC,HXI302-EXT_CVPM11,HXI304-ERes_SCV,HXI304-Ind_SCV,HXI305-EXT_CVPM12,HXI306-EXT_CVPM13,HXI401-EXT_FRESN,HXI402-Ext_CVPM14,HXI403-EXT_CVPM17,HXI405-EXT_CVPM18,HXI406-EXT_SB_SLO,HXI407-EXT_CVPM20,HXI410-EXT_BAKER,HXI501-ERes_VENT,HXI501-IND_VENT,HXI502-EXT_AV,HXI503-EXT_CLWA,HXI504-Ind_CMWD,HXI505-EXT_MR,HXI506-ERes_SBV,HXI506-Ind_SBV,HXI507-EXT_COACH,HXI508-EXT_Blythe,HXI509-Ind_EMWD,HXI510-EXT_El_Cen,HXI511-Ind_SDMWD,HXSD-ERes_SDWD,U101-INT_Reddin,U102-EXT_CVPM02,U102-INT_CVPM02,U103-EXT_CVPM03,U103-INT_CVPM03,U104-EXT_CVPM04,U104-INT_CVPM04,U201-INT_YUBA,U202-EXT_CVPM05,U202-INT_CVPM05,U203-INT_CVPM06,U204-INT_SAC,U205-IRES_NAPA,U206-EXT_CVPM09,U206-INT_CVPM09,U207-INT_CVPM08,U208-IRES_CC,U209-IRES_EBMUD,U210-INT_STOCK,U301-IRES_SF,U302-INT_CVPM11,U303-EXT_CVPM10,U303-INT_CVPM10,U304-IRES_SCV,U305-INT_CVPM12,U306-INT_CVPM13,U401-INT_FRESN,U402-INT_CVPM14,U403-INT_CVPM17,U404-EXT_CVPM15,U404-INT_CVPM15,U405-INT_CVPM18,U406-INT_SB_SLO,U407-INT_CVPM20,U408-Ext_CVPM19,U408-INT_CVPM19,U409-EXT_CVPM21,U409-INT_CVPM21,U410-INT_BAKER,U501-IRES_VENT,U502-INT_AV,U503-INT_CLWA,U504-IRes_CMWD,U505-INT_MR,U506-IRes_SBV,U507-INT_COACH,U508-INT_Blythe,U509-IRes_EMWD,U510-INT_El_Cen,U511-IRes_SDWD
2000-10-31,2.31,2.22,11.190000000000005,5.1,22.619999999999994,22.529999999999998,6.879999999999998,6.849999999999999,17.47,0.09,0.0,22.669999999999998,12.3,0.5300000000000001,0.0,3.950000000000001,17.0,7.749999999999997,9.640000000000002,2.84,8.370000000000001,6.970000000000001,58.63999999999999,19.749999999999996,11.120000000000001,8.110000000000001,23.77,0.45999999999999996,1.61,1.45,4.430000000000001,5.9799999999999995,0.6699999999999999,0.77,6.53,0.03,38.269999999999996,12.149999999999997,0.67,0.1,77.7,0.0,1.11,4.290000000000001,0.0,2.4000000000000004,4.1000000000000005,11.16,12.880000000000003,19.1,0.8300000000000001,1.23,0.0,0.55,3.4319999999999995,0.41000000000000014,0.0,0.37,0.13,2.88,0.503,95.81000000000004,0.03,0.09,0.85,28.06,10.42,2.0,0.0,0.0,6.300000000000001,0.0,0.0,1.8299999999999996,0.0,0.0,1.79,0.0,0.28,0.39,0.01,0.01,2.4799999999999995,0.01,0.32,0.83,2.4399999999999995,0.0,0.0,0.38,0.0,0.25,0.01,0.0,0.01,6.17,1.51,0.01,1.91,9.41,0.01,0.63,0.08,0.01,0.0,0.0,4.55,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.6900000000000001,0.01,0.29000000000000004,0.0,0.0,0.0,0.96,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,1.36,0.43,10.01,0.01,2.22,0.01,0.02,2.2,0.01,1.18
2000-11-30,0.27,0.25000000000000006,1.2500000000000004,0.5700000000000002,9.642873839999998,10.569999999999999,3.230000000000001,3.2200000000000006,8.41,0.04,0.0,12.860000000000005,1.4700000000000006,0.03,0.0,2.24,2.23,0.45999999999999996,0.21000000000000002,0.12000000000000001,1.96,1.64,24.73999999999999,8.33,2.4499999999999997,2.0,2.06,0.04,0.06,0.05,1.6600000000000001,2.23,0.22000000000000003,0.29,0.09000000000000001,0.0,8.760000000000002,1.2500000000000004,0.05,0.02,3.1500000000000004,0.0,0.02,0.08,0.0,0.16,0.39999999999999997,1.08,0.7400000000000001,1.0900000000000003,0.05,0.07,0.0,0.03,0.0,0.02,0.0,0.03,0.01,0.21000000000000002,0.027,3.05,0.0,0.01,0.060000000000000005,18.29,7.409999999999999,0.4700000000000001,0.0,0.0,3.55,0.0,0.01,1.02,0.01,0.0,1.24,0.0,0.31,0.49,0.0,0.01,1.5600000000000003,0.0,0.09,0.61,1.1400000000000001,0.0,0.01,0.19,0.01,0.06,0.01,0.0,0.0,3.86,1.05,0.0,0.8500000000000001,6.700000000000001,0.0,0.56,0.05,0.01,0.0,0.01,3.12,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.52,0.01,0.15000000000000002,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,1.02,0.43,10.01,0.01,1.6700000000000002,0.01,0.02,2.2,0.01,1.18
2000-12-31,0.10999999999999997,0.09999999999999998,0.09999999999999998,0.05,0.0,4.660000000000001,1.4200000000000004,1.4200000000000006,6.67,0.03,0.0,8.53,0.10999999999999999,0.01,0.0,2.47,0.060000000000000005,0.060000000000000005,0.05,0.04,1.1800000000000002,0.99,5.860000000000001,4.380000000000001,2.1100000000000003,1.7299999999999998,0.94,0.02,0.0,0.0,2.72,3.66,0.41,0.48000000000000004,0.0,0.0,4.08,1.2900000000000005,0.06,0.01,0.95,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.009,1.1,0.02,0.0,0.02,15.36,6.500000000000002,0.12,0.0,0.0,2.16,0.01,0.01,0.7300000000000001,0.01,0.0,1.09,0.0,0.18,0.45000000000000007,0.01,0.01,1.1500000000000001,0.0,0.1,0.37,0.45999999999999996,0.0,0.04,0.08,0.01,0.05,0.0,0.0,0.0,2.4400000000000004,0.92,0.01,0.41000000000000003,5.370000000000001,0.0,0.46,0.07,0.0,0.0,0.01,2.53,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.52,0.01,0.15000000000000002,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,1.02,0.44,10.01,0.01,1.6700000000000002,0.01,0.02,2.2,0.01,1.18
2001-01-31,0.0,0.03,0.0,0.04,0.0,2.5399999999999996,0.0,0.23,0.0,0.01,0.0,3.3699999999999997,0.07923260320000003,0.0,0.0,2.3500000000000005,0.23000000000000007,0.09999999999999998,0.03,0.04,1.81,1.5099999999999998,5.19,3.8900000000000006,1.17,0.96,1.3299999999999998,0.02,0.060000000000000005,0.05,3.13,4.22,0.47000000000000003,0.5499999999999999,0.27999999999999997,0.0,7.320000000000002,2.3200000000000003,0.1,0.03,4.68,0.0,0.26,1.01,0.0,0.72,1.23,3.3600000000000003,4.640000000000001,6.869999999999998,0.30000000000000004,0.44999999999999996,0.0,0.2,0.0,0.0,0.0,0.09,0.03,0.7,0.009,23.549999999999997,0.01,0.01,0.21000000000000002,11.13,5.2,0.0,0.0,0.0,1.67,0.0,0.0,0.3800000000000001,0.01,0.01,1.07,0.01,0.15000000000000002,0.44,0.0,0.0,1.08,0.01,0.09,0.29000000000000004,0.15000000000000002,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.8300000000000011,0.7099999999999999,0.0,0.2,4.35,0.01,0.5800000000000001,0.08,0.0,0.0,0.0,1.92,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.52,0.01,0.15000000000000002,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,1.02,0.43000000000000005,10.01,0.01,1.6700000000000002,0.01,0.02,2.2,0.01,1.18
2001-02-28,0.0,0.0,0.0,0.04,0.0,1.5700000000000005,0.0,0.15000000000000002,0.0,0.01,0.0,0.6600000000000001,0.14,0.01,0.0,2.1600000000000006,0.6900000000000001,0.15,0.02,0.01,2.1500000000000004,1.79,12.849999999999998,9.620000000000003,1.92,1.5699999999999998,3.2500000000000004,0.07,0.02,0.02,3.1900000000000004,4.3,0.49000000000000005,0.6499999999999999,0.05,0.0,16.939999999999998,2.420000000000001,0.14,0.03,8.68,0.0,0.07,0.33,0.0,0.41000000000000003,0.7,1.88,2.1000000000000005,3.1100000000000003,0.14,0.2,0.0,0.09,0.0,0.01,0.0,0.06,0.02,0.44000000000000006,0.009,14.520000000000005,0.0,0.02,0.12,13.92,6.069999999999999,0.0,0.0,0.0,1.96,0.11,0.01,0.7000000000000002,0.0,0.0,1.12,0.01,0.16,0.48,0.0,0.01,1.23,0.0,0.1,0.33999999999999997,0.44,0.0,0.04,0.09,0.01,0.04,0.01,0.0,0.0,2.3499999999999996,0.85,0.0,0.33999999999999997,4.5,0.0,0.39,0.08,0.01,0.0,0.0,1.4100000000000001,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.52,0.01,0.15000000000000002,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,1.02,0.44,10.01,0.01,1.6700000000000002,0.01,0.02,2.2,0.01,1.18
2001-03-31,0.0,0.12999999999999998,0.0,0.53,0.0,5.5600000000000005,0.0,0.51,0.0,0.03,0.0,2.8600000000000003,5.78,0.25000000000000006,0.0,2.8800000000000003,6.099999999999998,2.7800000000000007,0.48,0.33,7.880000000000001,6.5600000000000005,32.31,24.19000000000001,11.21,8.18,23.229999999999997,0.51,4.3100000000000005,3.88,9.270000000000001,12.49,1.39,1.62,3.5599999999999996,0.02,65.09,20.66,1.1300000000000001,0.2,161.52,0.0,2.12,8.19,0.0,4.42,7.579999999999999,20.599999999999998,24.210000000000008,35.88999999999999,1.57,2.3200000000000003,0.0,1.0499999999999998,0.0,0.05,0.0,0.68,0.23,5.21,0.234,173.26999999999995,0.0,0.08,1.5299999999999998,13.170000000000002,5.82,0.24000000000000002,0.0,0.0,2.25,0.0,0.01,0.5299999999999999,0.0,0.01,1.22,0.0,0.2,0.45999999999999996,0.0,0.0,1.4000000000000001,0.0,0.13,0.49000000000000005,0.6599999999999999,0.0,0.0,0.1,0.01,0.060000000000000005,0.01,0.0,0.0,3.6099999999999994,0.7999999999999999,0.0,0.78,4.96,0.0,0.66,0.08,0.0,0.0,0.0,2.4399999999999995,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.52,0.01,0.15000000000000002,0.0,0.0,0.0,1.44,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,1.02,0.44,10.01,0.01,1.6700000000000002,0.01,0.02,2.2,0.01,1.18
2001-04-30,2.1200000000000006,2.0300000000000007,25.03,11.410000000000002,8.73830932352935,59.53999999999998,18.18,18.11,95.29,0.4800000000000002,87.21368720000001,56.459999999999994,30.706120000000002,1.2600000000000005,0.0,17.189999999999994,56.38,25.690000000000005,6.197832000000005,3.4400000000000004,20.15,16.79,39.82,29.799999999999986,23.770000000000003,17.33,59.13,1.15,6.800000000000001,6.119999999999999,4.3,5.779999999999999,0.5599999999999999,0.75,17.0,0.060000000000000005,48.339999999999996,15.349999999999996,0.85,0.15,96.15,0.0,2.8099999999999996,10.88,0.0,2.95,5.0600000000000005,13.759999999999998,16.210000000000004,24.029999999999998,1.0499999999999998,1.55,0.0,0.7,8.23,0.9600000000000004,0.0,0.64,0.22,4.93,1.204,164.48,0.05,0.08,1.46,23.069999999999997,8.88,1.4000000000000004,1.0,0.0,4.08,0.01,0.0,1.6199999999999999,0.0,0.0,1.64,0.01,0.25,0.39,0.0,0.0,2.3099999999999996,0.0,0.3,0.72,2.26,0.0,0.0,0.35,0.0,0.01,0.0,0.0,0.01,5.319999999999999,1.28,0.01,2.06,8.040000000000001,0.01,0.57,0.09,0.01,0.0,0.01,3.5999999999999996,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.120000000000001,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.6900000000000001,0.01,0.29000000000000004,0.0,0.0,0.0,0.96,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,1.36,0.43,10.01,0.01,2.22,0.01,0.02,2.2,0.01,1.18
2001-05-31,3.580000000000001,3.4299999999999997,43.10000000000001,19.640000000000004,78.42000000000002,78.13,23.850000000000005,23.770000000000007,146.85,0.7500000000000001,131.32999999999998,69.00000000000003,108.99232400406143,2.6399999999999997,43.31999999999999,18.390000000000004,146.12,66.58999999999999,44.14000000000001,28.860000000000003,29.700000000000003,24.76,99.70502325342018,53.28999999999999,35.87,26.16,109.47999999999999,2.13,10.11,9.13,14.920000000000002,20.09,2.25,2.5900000000000003,42.06,0.17,103.75999999999999,32.93999999999999,1.82,0.33,176.07999999999998,0.0,5.619999999999999,21.72,0.0,5.949999999999999,10.18,27.71,40.42000000000001,59.91000000000001,2.62,3.88,0.0,1.7399999999999998,34.073000000000015,2.020000000000001,0.0,1.34,0.44,10.3,2.524,343.2600000000001,0.11,0.16,3.05,28.650000000000002,10.6,3.2199999999999998,3.6599999999999997,0.0,35.029999999999994,0.01,0.0,2.63,0.01,0.0,2.16,0.0,0.77,0.43,0.01,0.0,3.2799999999999994,0.01,0.5,1.26,3.94,0.0,0.0,0.61,0.01,0.41000000000000003,0.0,0.0,0.01,7.609999999999999,1.53,0.01,2.54,10.41,0.01,0.71,0.1,0.01,0.0,0.0,5.08,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.120000000000001,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.6900000000000001,0.01,0.29000000000000004,0.0,0.0,0.0,0.96,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,1.36,0.43,10.01,0.01,2.22,0.01,0.02,2.2,0.01,1.18
2001-06-30,4.020000000000001,3.85,50.350000000000016,22.949999999999996,86.62999999999998,86.32,26.349999999999998,26.259999999999994,176.43999999999997,0.9000000000000004,158.44,83.24999999999999,163.17,3.170000000000001,57.41999999999998,24.379999999999995,205.47000000000006,93.63000000000002,54.53,29.693874557183353,32.36,26.970000000000002,213.31999999999994,71.84000000000002,40.85,29.789999999999996,124.48,2.4099999999999997,10.38,9.360000000000001,24.409999999999997,32.87,3.68,4.25,43.38,0.15,333.56000000000006,47.65000000000001,2.62,0.47,232.64,0.0,5.779999999999999,22.37,0.0,8.71,14.92,40.58999999999999,52.489999999999995,77.8,3.3999999999999995,5.029999999999999,0.0,2.26,26.3641153846155,2.4300000000000006,0.0,1.69,0.56,12.99,3.027,432.65999999999997,0.14,0.21,3.84,36.78,13.129999999999999,5.249999999999999,5.969999999999999,0.0,50.48,0.6729000000000049,0.0,3.3499999999999996,0.0,0.0,2.58,0.01,0.49,0.47000000000000003,0.0,0.01,4.08,0.0,0.66,1.64,5.34,0.0,0.01,0.83,0.01,0.01,0.0,0.0,0.01,10.629999999999999,1.9,0.01,3.4499999999999997,14.4,0.01,0.82,0.11,0.01,0.0,0.01,5.8,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.120000000000001,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.0,0.01,0.0,0.6900000000000001,0.01,0.29000000000000004,0.0,0.0,0.0,0.96,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,1.36,0.43,10.01,0.01,2.22,0.01,0.02,2.2,0.01,1.18
2001-07-31,4.420000000000001,4.24,61.67,28.109999999999996,92.30000000000001,91.96999999999997,28.07999999999999,27.96999999999999,190.40000000000006,0.9700000000000004,168.34999999999997,88.46000000000001,183.26999999999995,3.560000000000001,61.609999999999985,22.23141878760416,91.99000000000001,64.49649644461391,63.580000000000005,41.55999999999999,33.18,27.66,120.88887585022802,77.56,42.68000000000001,31.130000000000003,137.39,2.66,10.5,9.47,24.700000000000003,33.26,3.7200000000000006,4.3,42.790000000000006,0.15,165.15999999999997,52.429999999999986,2.8899999999999997,0.51,529.6300000000001,0.0,6.460000000000001,25.0,0.0,10.06,17.23,46.870000000000005,59.29,87.88000000000001,3.84,5.6899999999999995,0.0,2.55,47.233000000000004,2.7300000000000004,0.0,1.84,0.61,14.200000000000001,3.404,472.9799999999998,0.15,0.22,4.2,37.75,13.42,6.85,7.0,0.0,58.099999999999994,1.27,0.0,3.9,0.01,0.01,2.75,0.0,0.58,0.48,0.0,0.01,4.3,0.0,0.77,1.92,6.16,0.0,0.0,0.95,0.0,0.0,0.01,0.0,0.0,10.850000000000001,1.95,0.01,3.66,15.93,0.0,0.89,0.13,0.0,0.0,0.01,6.59,4.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.120000000000001,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.0,0.01,0.0,0.6900000000000001,0.01,0.29000000000000004,0.0,0.0,0.0,0.96,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,1.36,0.44,10.01,0.01,2.22,0.01,0.02,2.2,0.01,1.18
