i,j,k,cost,amplitude,lower_bound,upper_bound
WWP204.2002-10-31,HGR08.2002-10-31,0,50,0.0020000000949949,0,0
WWP204.2002-11-30,HGR08.2002-11-30,0,50,0.0020000000949949,0,0
WWP204.2002-12-31,HGR08.2002-12-31,0,50,0.0020000000949949,0,0
WWP204.2003-01-31,HGR08.2003-01-31,0,50,0.0020000000949949,0,0
WWP204.2003-02-28,HGR08.2003-02-28,0,50,0.0020000000949949,0,0
WWP204.2003-03-31,HGR08.2003-03-31,0,50,0.0020000000949949,0,0
WWP204.2003-04-30,HGR08.2003-04-30,0,50,0.0020000000949949,0,0
WWP204.2003-05-31,HGR08.2003-05-31,0,50,0.0020000000949949,0,0
WWP204.2003-06-30,HGR08.2003-06-30,0,50,0.0020000000949949,0,0
WWP204.2003-07-31,HGR08.2003-07-31,0,50,0.0020000000949949,0,0
WWP204.2003-08-31,HGR08.2003-08-31,0,50,0.0020000000949949,0,0
WWP204.2003-09-30,HGR08.2003-09-30,0,50,0.0020000000949949,0,0
SR_TRM.2002-10-31,DBUGSNK.2002-10-31,0,0,1,0,1000000000
SR_TRM.2002-11-30,DBUGSNK.2002-11-30,0,0,1,0,1000000000
SR_TRM.2002-12-31,DBUGSNK.2002-12-31,0,0,1,0,1000000000
SR_TRM.2003-01-31,DBUGSNK.2003-01-31,0,0,1,0,1000000000
SR_TRM.2003-02-28,DBUGSNK.2003-02-28,0,0,1,0,1000000000
SR_TRM.2003-03-31,DBUGSNK.2003-03-31,0,0,1,0,1000000000
SR_TRM.2003-04-30,DBUGSNK.2003-04-30,0,0,1,0,1000000000
SR_TRM.2003-05-31,DBUGSNK.2003-05-31,0,0,1,0,1000000000
SR_TRM.2003-06-30,DBUGSNK.2003-06-30,0,0,1,0,1000000000
SR_TRM.2003-07-31,DBUGSNK.2003-07-31,0,0,1,0,1000000000
SR_TRM.2003-08-31,DBUGSNK.2003-08-31,0,0,1,0,1000000000
SR_TRM.2003-09-30,DBUGSNK.2003-09-30,0,0,1,0,1000000000
DBUGSRC.2002-10-31,SR_TRM.2002-10-31,0,0,1,0,1000000000
DBUGSRC.2002-11-30,SR_TRM.2002-11-30,0,0,1,0,1000000000
DBUGSRC.2002-12-31,SR_TRM.2002-12-31,0,0,1,0,1000000000
DBUGSRC.2003-01-31,SR_TRM.2003-01-31,0,0,1,0,1000000000
DBUGSRC.2003-02-28,SR_TRM.2003-02-28,0,0,1,0,1000000000
DBUGSRC.2003-03-31,SR_TRM.2003-03-31,0,0,1,0,1000000000
DBUGSRC.2003-04-30,SR_TRM.2003-04-30,0,0,1,0,1000000000
DBUGSRC.2003-05-31,SR_TRM.2003-05-31,0,0,1,0,1000000000
DBUGSRC.2003-06-30,SR_TRM.2003-06-30,0,0,1,0,1000000000
DBUGSRC.2003-07-31,SR_TRM.2003-07-31,0,0,1,0,1000000000
DBUGSRC.2003-08-31,SR_TRM.2003-08-31,0,0,1,0,1000000000
DBUGSRC.2003-09-30,SR_TRM.2003-09-30,0,0,1,0,1000000000
SOURCE,INITIAL,0,0,1,0,1000000000
INITIAL,SR_TRM.2002-10-31,0,0,1,0.6,0.6
